original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,activity,activity_units,source_name
road-transportation,1/1/2021,12/31/2021,n2o,146.3610482,5.77E-09,T of N2O per VKT,22695.69383,km,25300000000,vehicle km traveled (VKT),Lahore Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,ch4,533.3789108,2.10E-08,T of CH4 per VKT,22695.69383,km,25300000000,vehicle km traveled (VKT),Lahore Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,n2o,152.9171959,5.77E-09,T of N2O per VKT,23459.05747,km,26500000000,vehicle km traveled (VKT),Lahore Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,ch4,557.2712712,2.10E-08,T of CH4 per VKT,23459.05747,km,26500000000,vehicle km traveled (VKT),Lahore Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,n2o,152.1921803,5.77E-09,T of N2O per VKT,24047.51206,km,26400000000,vehicle km traveled (VKT),Karachi Urban Area in Karachi Division
road-transportation,1/1/2021,12/31/2021,ch4,554.6291201,2.10E-08,T of CH4 per VKT,24047.51206,km,26400000000,vehicle km traveled (VKT),Karachi Urban Area in Karachi Division
road-transportation,1/1/2022,12/31/2022,n2o,152.0434651,5.77E-09,T of N2O per VKT,24113.83743,km,26300000000,vehicle km traveled (VKT),Karachi Urban Area in Karachi Division
road-transportation,1/1/2022,12/31/2022,ch4,554.0871619,2.10E-08,T of CH4 per VKT,24113.83743,km,26300000000,vehicle km traveled (VKT),Karachi Urban Area in Karachi Division
road-transportation,1/1/2021,12/31/2021,n2o,47.90002881,5.77E-09,T of N2O per VKT,8696.746934,km,8290000000,vehicle km traveled (VKT),Faisalabad Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,ch4,174.5605508,2.10E-08,T of CH4 per VKT,8696.746934,km,8290000000,vehicle km traveled (VKT),Faisalabad Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,n2o,50.99415453,5.77E-09,T of N2O per VKT,9296.794207,km,8830000000,vehicle km traveled (VKT),Faisalabad Urban Area in Faisalabad Division
